"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"CHECK_PRICES";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"SNAPEDA_LINK";"SPICEPREFIX";
"1";"0.1uF";"C-USC0805";"C0805";"C2";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"C";
"1";"0.33uF";"C-USC0805";"C0805";"C1";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"C";
"2";"10K";"R-EU_R0805";"R0805";"R29, R32";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"6";"10K";"R-US_R0805";"R0805";"R2, R8, R10, R15, R21, R25";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"";"R";
"5";"10k";"R-US_R0805";"R0805";"R1, R4, R9, R16, R31";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"";"R";
"1";"110R";"R-US_R0805";"R0805";"R18";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"";"R";
"2";"1N4933";"1N4933";"DO41-10";"D1, D3";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";
"1";"1N5400";"1N5400";"DO201-15";"D2";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";
"4";"2k2";"R-US_R0805";"R0805";"R3, R11, R20, R33";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"";"R";
"2";"33pF";"C-USC0805";"C0805";"C3, C4";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"C";
"1";"360R";"R-US_R0805";"R0805";"R17";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"";"R";
"1";"3A";"SH22,5A";"SH22,5A";"F1";"FUSE HOLDER grid 22,5mm, isolated cap OGN0031 8201, Schurter (Buerklin)";"";"";"";"";"";"";"";"";"";"";"";"";"0031.7701.11";"unknown";"04F1224";"";"0";"";"";"";"";
"4";"3K3";"R-US_R0805";"R0805";"R22, R26, R27, R34";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"";"R";
"1";"43R";"R-US_R0805";"R0805";"R19";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"";"R";
"2";"470R";"R-EU_R0805";"R0805";"R28, R30";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"4";"4k7";"R-US_R0805";"R0805";"R6, R13, R23, R35";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"";"R";
"2";"56R";"R-US_R0805";"R0805";"R5, R12";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"";"R";
"1";"74ABT125PW";"74ABT125PW";"TSSOP14";"IC2";"Quad bus BUFFER, 3-state";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";
"4";"75k";"R-US_R0805";"R0805";"R7, R14, R24, R36";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"";"R";
"1";"7805DT";"7805DT";"TO252";"IC1";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";
"1";"ABI-009-RC";"ABI-009-RC";"ABI-009-RC";"LS1";"PRO SIGNAL - ABI-009-RC - BUZZER, ELECTROMECH, 6VDC";"";"";"";"";"PRO SIGNAL - ABI-009-RC - BUZZER, ELECTROMECH, 6VDC";"mm";"PRO SIGNAL";"ABI-009-RC";"";"";"";"";"";"";"";"";"";"";"";"";"";
"9";"BC847BSMD";"BC847BSMD";"SOT23";"Q2, Q4, Q5, Q8, Q9, Q11, Q12, Q14, Q15";"NPN Transistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9";"";"";"";"";
"4";"BC857ASMD";"BC857ASMD";"SOT23-BEC";"Q1, Q6, Q10, Q13";"PNP Transistror";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";
"1";"BLOQUEIO(P/N)";"MPT3";"3POL254";"X6";"PHOENIX CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"3";"";"";"";"";
"1";"DIREITA(P/N)";"MPT3";"3POL254";"X7";"PHOENIX CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"3";"";"";"";"";
"1";"ESQUERDA(P/N)";"MPT3";"3POL254";"X1";"PHOENIX CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"3";"";"";"";"";
